USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
387340,99999,DEHAVZ,TI,,,39.45,70.2,2561.0,19751101,20230125
387440,99999,LAHSH,TI,,,39.283,71.867,1198.0,19730312,20230505
387450,99999,SARY-TAS,KG,,,39.733,73.267,3155.0,19591101,19971208
388510,99999,RASHT,TI,,,39.0,70.3,1316.0,19591124,20230505
388530,99999,KHABURABAD,TI,,,38.65,70.717,3347.0,19730101,20050327
388560,99999,DARVAZ,TI,,,38.467,70.883,1288.0,19590901,20230505
388620,99999,FEDCENKO GLACIER,TI,,,38.917,72.167,4169.0,19370104,19971122
388670,99999,HUMRAGI,TI,,,38.283,71.333,1737.0,19730101,19970217
388690,99999,IHRT,TI,,,38.167,72.633,3276.0,19590101,20230125
388710,99999,KARAKUL LAKE,TI,,,39.083,73.417,3930.0,19591102,19971216
388750,99999,KARAKUL,TI,,,39.017,73.55,3940.0,19570722,20230505
388780,99999,MURGAB,TI,,,38.167,73.967,3576.0,19591118,20230505
388790,99999,OKSU,TI,,,38.067,74.467,3740.0,19770705,20020312
389510,99999,RUSHAN,TI,,,37.95,71.55,1981.0,20130112,20230505
389540,99999,KHOROG,TI,,,37.5,71.5,2077.0,19571011,20230505
389560,99999,BULUN-KUL,TI,,,37.7,72.95,3744.0,19591111,19971114
389570,99999,ISHKASHIM,TI,,,36.717,71.6,2523.0,19591108,20230505
389660,99999,SAJMAK,TI,,,37.533,74.833,3840.0,19601201,20220413
409000,99999,DARWAZ,AF,,OADZ,38.433,70.8,1320.0,19730304,20070905
409010,99999,KHWAHAN,AF,,OAHN,37.883,70.217,1040.0,19730629,20070608
409040,99999,FAIZABAD,AF,,OAFZ,37.117,70.517,1200.0,19730304,20130703
409050,99999,SHIGHNAN,AF,,,37.567,71.5,2265.0,19730701,20090511
409180,99999,ISKACHEM / ESHKASHEM,AF,,OAEM,36.7,71.567,2620.0,20021121,20170316
409200,99999,ZEBAK,AF,,OAZB,36.5,71.25,2600.0,19580101,19970914
409343,99999,FOB BOSTIC,AF,,,35.21,71.52,1042.0,20090101,20120630
409520,99999,LAGHMAN,AF,,OALN,34.65,70.217,770.0,19610310,20140413
409530,99999,GHAZIABAD,AF,,OAGA,34.317,70.767,510.0,20020713,20020713
409534,99999,FOB CONNOLLY,AF,,,34.267,70.2,1214.6,20110413,20130529
409540,99999,JALALABAD,AF,,OAJL,34.4,70.499,566.9,19730101,20210814
409585,99999,CAMP BLESSING-NANGA,AF,,,34.983,70.9,1020.0,20090101,20110209
415040,99999,GUPIS,PK,,OPXB,36.167,73.4,2156.0,20051001,20230504
415050,99999,HUNZA,PK,,,36.317,74.65,2374.0,20081029,20180129
415060,99999,CHITRAL,PK,,,35.85,71.833,1500.0,19730101,20230315
415070,99999,MET OBSERVATORY TIMERGARA / DIR LOWER,PK,,,34.833,71.817,786.0,20081029,20220521
415080,99999,DIR,PK,,OPXO,35.2,71.85,1369.0,19800309,20230505
415090,99999,MIR KHANI,PK,,,35.5,71.7,1250.0,20061003,20180129
415100,99999,KALAM,PK,,,35.833,72.983,2123.0,20050727,20180129
415150,99999,DROSH,PK,,,35.567,71.783,1465.0,19440101,20230505
415160,99999,GILGIT,PK,,OPGT,35.919,74.334,1457.2,19730401,20211108
415170,99999,SKARDU,PK,,OPSD,35.336,75.536,2316.5,19440101,20211108
415180,99999,BUNJI,PK,,,35.667,74.633,1470.0,20040806,20211108
415190,99999,CHILLAS,PK,,,35.417,74.1,1251.0,20050728,20211108
415200,99999,ASTORE,PK,,,35.367,74.9,2168.0,20050727,20211108
415205,99999,CHITRAL,PK,,,35.883,71.8,1494.0,20050727,20230505
415215,99999,DERA GHAZI KHAN,PK,,,29.967,70.483,148.0,20050727,20180129
415225,99999,MUZAFFARABAD,PK,,,34.333,73.517,831.0,20050727,20201015
415230,99999,SAIDU SHARIF,PK,,,34.733,72.35,951.0,19740730,20230315
415235,99999,SAIDU SHARIF,PK,,,34.817,72.35,970.0,20050101,20230505
415240,99999,PATTAN,PK,,,35.1,73.0,752.0,20081029,20180129
415250,99999,MALAM JABBA,PK,,OPXS,34.75,72.9,2691.0,20070116,20230505
415260,99999,BABUSAR,PK,,,35.217,74.1,2854.0,20151007,20151007
415280,99999,LANDIKOTAL,PK,,,34.1,71.133,1067.0,19730101,19791113
415281,99999,LANDIKOTAL,PK,,,34.1,71.133,1068.0,20090101,20111022
415290,99999,PESHAWAR,PK,,,34.033,71.933,329.0,20211212,20230315
415300,99999,PESHAWAR,PK,,,34.017,71.583,360.0,19440101,20230505
415310,99999,BATTAL,PK,,,34.583,73.15,1676.0,19730815,20030111
415320,99999,MUZAFFAR ABAD,PK,,,34.367,73.483,702.0,19730103,20211108
415330,99999,RISALPUR,PK,,OPRS,34.081,71.973,320.0,19730101,20211108
415350,99999,KAKUL,PK,,,34.183,73.25,1309.0,19730101,20230505
415360,99999,BALAKOT,PK,,,34.383,73.35,981.0,19980301,20230505
415600,99999,PARACHINAR,PK,,,33.867,70.083,1726.0,19440101,20230505
415620,99999,BANNU*,PK,,,33.0,70.1,406.0,20081029,20081130
415640,99999,KOHAT,PK,,,33.567,71.433,513.0,19730101,20211108
415650,99999,CHERAT,PK,,,33.817,71.883,1372.0,19440101,20211108
415690,99999,CAMPBELLPUR,PK,,,33.767,72.367,357.0,19730103,19730619
415710,99999,CHAKLALA,PK,,OPRN,33.617,73.099,508.4,19440101,20230505
415720,99999,HARIPUR,PK,,,33.983,72.917,535.0,19730107,19781008
415730,99999,MURREE,PK,,,33.917,73.383,2127.0,19440101,20230505
415740,99999,RAWALAKOT*,PK,,,33.85,73.8,1677.0,20081029,20081130
415760,99999,MANGLA*,PK,,,33.067,73.633,283.0,20081130,20081130
415770,99999,ISLAMABAD CITY,PK,,,33.717,73.1,525.0,20050727,20211108
415840,99999,MIRANSHAH AIRPORT,PK,,,32.983,70.117,921.0,19440102,20031024
415900,99999,KHUSHAB,PK,,,32.3,72.35,186.0,19540101,20020522
415920,99999,MIANWALI,PK,,OPMI,32.563,71.571,210.3,19440101,20221216
415930,99999,SARGODHA,PK,,,32.05,72.667,187.0,20040812,20210926
415940,99999,SARGODHA,PK,,OPSR,32.05,72.667,188.0,19730101,20230505
